,celion dion,cher,tina turner,donna summer,chic,rose royce,rufus,commodores,lionel richie,billy ocean,steve winwood,don henley,eddie money,loverboy,night ranger,sammy hagar,van halen,kiss,twisted sister,w.a.s.p.,saxon,metal church,overkill,exodus,death angel,dark angel,possessed,autopsy,morbid angel,carcass,napalm death
laid-back-mellow,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,
tuskegee,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
raul seixas,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
amazing 80s,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,
my fav artists,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
male vocalist,,,,,,,,,3,,2,4,3,,,,,,,,,,,,,,,,,,
illinois,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
70s disco,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
classic heavy metal,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
stax,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
rock n roll,,,1,,,,,,,,,,5,,,5,1,2,3,1,,,,,,,,,,,
icon,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vice city,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
searching,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
emotional,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
flackyak-needs-to-hear-more,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
topfavouritestreamableartists,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,
70s,,12,7,31,31,26,8,33,,8,7,6,3,,,,3,7,,,,,,,,,,,,,
death-grind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
riffs,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
want it,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
reggae,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
music on my profile,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
island,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
pp fab fruits,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
bass,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
metal church,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
a selection work in progress,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
vimpatti,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
sexy sexy,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
canadian artists,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
